name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow,remote raid,Has IRL loc
mawile,303,01/19/2018,TRUE,,n/a,,"San Francisco, CA","37.7749295,-122.4194155",Steel,Fairy,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
raichu,26,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,TRUE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
raichu,26,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
glalie,362,02/11/2018,TRUE,,n/a,,,,Ice,,pogo,,TRUE,FALSE,FALSE,,,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,,,
poochyena,261,02/16/2018,TRUE,,n/a,,,,Dark,,pogo,,FALSE,FALSE,FALSE,,,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,,,
dragonair,148,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,,pogo,,TRUE,FALSE,FALSE,,,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,,,
